"index","original_content","translated_content"
"29","September 7",""
"31","Fey ＆ Co. Law Offices",""
"41","Looks like forensics is",""
"43","taking the day off today.",""
"45","Detective Gumshoe's",""
"47","nowhere in sight.",""
"49","The police really gave",""
"51","this place a working over.",""
"53","I doubt there are any",""
"55","valuable clues left.",""
"57","Suppose it can't hurt to",""
"59","take a look around,",""
"61"," though.",""
"70","Mia's favorite potted plant.",""
"72","I guess I'll have to",""
"74","water it now...",""
"83","You couldn't cram more legal",""
"85","books in here,",""
"87"," even if you",""
"89","wanted to.",""
"91","All the cases that the chief",""
"93","worked on are filed here.",""
"95","Hmm.",""
"97"," Are some of the files",""
"99","missing...?",""
"101","Nah,",""
"103"," I'm imagining things.",""
"112","The sky is blue,",""
"114"," and so am I...",""
"116","There's that hotel,",""
"119","right across the way.",""
"128","Mia's desk.",""
"130","Perfectly clean,",""
"132"," as always.",""
"134","The only thing it's",""
"136","missing is...",""
"138"," Mia.",""
"147","An old movie poster.",""
"149","Apparently,",""
"151"," this was the",""
"153","first movie that made Mia",""
"155","cry when she saw it.",""
"157","I'll have to check it",""
"159","out one of these days.",""
"169","No clues here.",""
"178","It's funny,",""
"180"," looking at ",""
"182","this room,",""
"184"," it seems...",""
"187","so normal.",""
"189","Hard to imagine a murder took",""
"191","place here.",""
"193","Mr. Grossberg said there",""
"195","would be clues...",""
"197","Maybe I should have",""
"199","another look.",""
"209","Mia's favorite potted plant.",""
"211","I guess I'll have to",""
"213","water it now...",""
"223","All the cases the chief",""
"225","ever worked on are filed",""
"227","here.",""
"229","They're in alphabetical order.",""
"232","Let's take a look...",""
"234","Which file should",""
"236","I look at...?",""
"246","Let's see if there's",""
"248","""A"" record in this file",""
"250","that catches my ""I.""",""
"252","""A""...",""
"254"," ""B""...",""
"256"," ""F""!",""
"260","""Misty Fey.""",""
"263","That's Mia and Maya's mother.",""
"265","Hmmm...",""
"267"," Should I take a look?",""
"276","I don't think it has",""
"278","much to do with the",""
"280","current case.",""
"282","I'd be interested to know",""
"284","what it contains...",""
"286"," but I'll",""
"288","leave it alone for now.",""
"298","""'I have tarnished the Fey",""
"300","name.' Leaving only these",""
"302","words,",""
"304"," my mother vanished.""",""
"306","""I was determined to find the",""
"308","ones who had made my mother",""
"310","blame herself in this way.""",""
"312","""Using the ",""
"314","power that",""
"316","runs in my family,",""
"318"," I held",""
"320","an audience with the dead.""",""
"322","""Finally,",""
"324"," the names of",""
"327","two men",""
"330"," surfaced.""",""
"332","""One was ",""
"334","Marvin Grossberg",""
"337",",",""
"340","a lawyer who sold my mother's",""
"342","information for riches.""",""
"344","""The other was the man",""
"346","who sold that information",""
"348","to the press.""",""
"350","""This ",""
"352","parasite",""
"354",",",""
"356"," who makes",""
"358","his fortune on threats and",""
"360","coercion...""",""
"362","""His name is...""",""
"368","Hmm.",""
"370"," The record stops there.",""
"372","...",""
"374","So Mia knew Grossberg...",""
"384","""T""...",""
"386"," ""U""...",""
"389","I know,",""
"391"," ""W""!",""
"393"," ""White""!",""
"396","...",""
"403","!",""
"408","The entire ""W"" section",""
"410","is missing!",""
"412","Was it taken...?",""
"422","Let's see...",""
"424"," ""J"" ",""
"426","through ""S""...",""
"428"," ",""
"430","Nothing much in here.",""
"432","Maybe I'll just",""
"434","skim some of this?",""
"443","Nah...",""
"445"," this is taking",""
"447","too long.",""
"449"," Later.",""
"451","*yawn*",""
"454","I've never been good at",""
"456","reading these things.",""
"465","*sigh*",""
"467","Well,",""
"469"," no harm in flipping",""
"471","through a bit,",""
"473"," I guess...",""
"475","The biggest part's here",""
"478","at the end in ""S""...",""
"483","""Suicide""?",""
"485"," Eww...",""
"487","She has a collection of",""
"489","suicide reports.",""
"491"," There's",""
"493","politicians...",""
"495"," policemen...",""
"499","...",""
"504","...!",""
"507","There's writing on most",""
"509","of these in pencil.",""
"514","""White""...?",""
"517","This is Mia's handwriting.",""
"519","Wait,",""
"521"," I get it!",""
"524","Mia thought he was involved",""
"526","in these ""suicides""!",""
"528","White drove them all to...",""
"531","...",""
"538","I can use these",""
"540","newspaper clippings.",""
"542","Hmm...",""
"544"," let's find the",""
"546","most disturbing one...",""
"554","Newspaper Clipping added",""
"556","to the Court Record.",""
"567","Shall I check Mia's",""
"569","files once more?",""
"578","Which file to check?",""
"588","I don't see much point",""
"590","in checking files that",""
"592","are missing all the key parts.",""
"594","Argh.",""
"597","I give up.",""
"605","Hmm...",""
"607"," not much in the",""
"609","""J-S"" section.",""
"611","I'm not sure reading suicide",""
"613","accounts will be very good",""
"615","for my mood...",""
"617","I think that's enough",""
"619","reading for today.",""
"626","Let's see if there's",""
"628","anything else interesting",""
"630","in the first file...",""
"632","Right,",""
"634"," the ""DL-6 incident""!",""
"637","Wait...",""
"639","The entire ""D"" file",""
"641","is missing!",""
"643","I'll bet someone",""
"645","""borrowed"" this.",""
"654","The sky is blue,",""
"657","and so am I...",""
"659","There's that hotel,",""
"662","right across the way.",""
"671","Mia's desk.",""
"673","Perfectly clean,",""
"675"," as always.",""
"677","The only thing it's",""
"679","missing is...",""
"681"," Mia.",""
"690","An old movie poster.",""
"692","Apparently,",""
"694"," this was the",""
"696","first movie that made Mia",""
"698","cry when she saw it.",""
"700","I'll have to check it",""
"702","out one of these days.",""
"712","No clues here.",""
"728","September 7, 3:11 PM",""
"730","Detention Center",""
