"index","original_content","translated_content"
"11","ᾀ",""
"23","*gasp*...",""
"25"," *gasp*... ",""
"47","Dammit!",""
"49"," ",""
"51","...Why me?",""
"63","I can't get caught... ",""
"68","Not like this!",""
"84","I-I've gotta find someone",""
"86","to pin this on... ",""
"102","Someone like... ",""
"105","him!",""
"120","I'll make it look like",""
"123","HE did it!",""
"150","August 3, 9:47 AM",""
"152","District Court",""
"154","Defendant Lobby No. 2",""
"175","(Boy am I nervous!)",""
"183","Wright!",""
"195","Oh, ",""
"197","h-",""
"199","hiya, ",""
"201","Chief.",""
"205","Whew, ",""
"207","I'm glad I made it on",""
"209","time.",""
"213","Well,",""
"215"," I have to say Phoenix,",""
"218","I'm impressed!",""
"221","Not everyone takes on a",""
"223","murder trial right off",""
"225","the bat like this.",""
"227","It says a lot about you...",""
"230","and your client as well.",""
"234","Um... thanks.",""
"237","Actually, it's because",""
"240","I owe him a favor.",""
"247","A favor?",""
"250","You mean, you knew the",""
"252","defendant before this case?",""
"256","Yes.",""
"258","Actually, I kind of owe ",""
"260","my current job to him.",""
"262","He's one of the reasons",""
"265","I became an attorney.",""
"269","Well, that's news to me!",""
"273","I want to help him out",""
"275","any way I can!",""
"277","I just... really want to help",""
"279","him. I owe him that much.",""
"290","(It's over!)",""
"299","(My life, everything,",""
"301","it's all over!)",""
"305","...",""
"309","Is that ",""
"311","your client",""
"313","screaming over there?",""
"318","Yeah... it's him.",""
"326","(Death! Despair! Ohhhh!)",""
"332","(I'm gonna do it,",""
"337","I'm gonna ",""
"339","die!!!)",""
"344","It sounds like",""
"346","he wants to die...",""
"352","Um,",""
"355"," yeah. *sigh*",""
"369","Nick!!!",""
"374","Hey.",""
"377","Hey ",""
"379","there, Larry.",""
"387","Dude,",""
"389"," I'm so guilty!!",""
"392","Tell them I'm guilty!!!",""
"397","Gimme the death sentence!",""
"400","I ain't afraid to die!",""
"405","What!?",""
"408","What's wrong,",""
"410"," Larry?",""
"417","Oh,",""
"419"," it's all over... ",""
"423","I...",""
"425"," ",""
"427","I'm finished. ",""
"430","Finished!",""
"432","I can't live in a world",""
"434","without her!",""
"436"," I can't!",""
"439","Who... ",""
"442","who took her away",""
"444","from me, Nick? ",""
"446","Who did this!?",""
"451","Aww,",""
"453"," Nick,",""
"455"," ya gotta tell me!",""
"458","Who took my baby away!?",""
"464","(Hmm... ",""
"467","The person responsible",""
"469","for your girlfriend's death?)",""
"472","(The newspapers say",""
"476","it was",""
"478"," ",""
"481","you",""
"483","...)",""
"503","My name is Phoenix Wright.",""
"505","Here's the story:",""
"507","My first case is",""
"509","a fairly simple one.",""
"520","A young woman was killed",""
"522","in her apartment.",""
"525","The guy they arrested was",""
"527","the unlucky sap dating her:",""
"539","Larry Butz...",""
"542"," my best",""
"544","friend since grade school.",""
"546","Our school had a saying:",""
"550","""",""
"552","When something smells,",""
"555","it's usually the Butz.",""
"557","""",""
"561","In the 23 years I've known",""
"563","him, it's usually been true.",""
"565","He has a knack for getting",""
"567","himself in trouble.",""
"569","One thing I can say though:",""
"572","it's usually not his fault.",""
"574","He just has terrible luck.",""
"578","But I know better than anyone,",""
"580","that he's a good guy at heart.",""
"583","That and I owe him one.",""
"585","Which is why I took the",""
"587","case... to clear his name.",""
"591","And that's just what I'm",""
"593","going to do!",""
"615","August 3, 10:00 AM",""
"617","District Court",""
"619","Courtroom No. 2",""
"647","Court is now in session for",""
"649","the trial of Mr. Larry Butz.",""
"655","The prosecution is ready,",""
"658","Your Honor.",""
"668","The,",""
"670"," um,",""
"673"," ",""
"675","defense is ready,",""
"678","Your Honor.",""
"684","Ahem.",""
"688","Mr. Wright?",""
"690","This is your first trial,",""
"693","is it not?",""
"699","Y-",""
"701","Yes, Your Honor.",""
"705","I'm,",""
"707"," um,",""
"709"," a little nervous.",""
"715","Your conduct during this",""
"717","trial will decide the fate",""
"719","of your client.",""
"721","Murder is a serious charge.",""
"725","For your client's sake, ",""
"727","I hope",""
"729","you can control your nerves.",""
"735","Thank...",""
"738"," thank you, Your Honor.",""
"744","... ",""
"748","Mr. Wright, given the",""
"751","circumstances... ",""
"753","I think we should have a test",""
"756","to ascertain your readiness.",""
"761","Yes, ",""
"763","Your Honor.",""
"770","(Gulp... ",""
"773","Hands shaking... ",""
"776","Eyesight... ",""
"779","fading...)",""
"786","The test will consist of a",""
"788","few simple questions.",""
"790"," Answer",""
"792","them clearly and concisely.",""
"800","Please state the name of",""
"803","the defendant",""
"805"," in this case.",""
"819","Um... ",""
"821","the defendant...",""
"825","is me...",""
"828"," right?",""
"836","Wright!",""
"838"," ",""
"840","Have you completely",""
"842","lost your mind? Focus!",""
"845","The defendant is the",""
"847","person on trial!",""
"849","You're his lawyer!",""
"857","Um, ",""
"859","er, ",""
"861","eh?",""
"865","Oh yeah,",""
"867"," right!",""
"870"," Eh heh heh.",""
"874","This is no laughing matter!",""
